product_id;Product Type:;Producer:;Collections:;Age Group:;Ground type:;Class:;Upper:;Type of binding:;Boots with sock:;Collection:;Color:;Plays in these boots:;Manufacturer's Data:;Team:
386;Football boots;adidas;adidas X;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Lack;No;adidas Crazyrush;White, Green;;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
387;Football boots;adidas;adidas Copa;Men;Firm Ground (FG);Professional;Leather;Lack;No;adidas Crazyrush;White, Green;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
388;Football boots;adidas;adidas Copa;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Lack;No;adidas Crazyrush;White, Green;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
389;Football boots;adidas;adidas Copa;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;adidas Crazyrush;White, Green;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
390;Football boots;adidas;adidas Copa;Men;Firm Ground (FG);Professional;Leather;Shoelace;No;adidas Crazyrush;White, Green;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
391;Football boots;adidas;adidas Copa;Men;Artificial Grass (AG/TF);Professional;Leather;Shoelace;No;adidas Crazyrush;White, Green;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
392;Football boots;Nike;Nike Mercurial Vapor;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Nike Black;Black;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
393;Football boots;Nike;Nike Tiempo;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;Nike Black;Black;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
394;Football boots;Puma;Puma Ultra;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Energy;Multicolor;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
395;Football boots;Puma;Puma King;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Energy;Blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
396;Football boots;Puma;Puma Future;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;Yes;Puma Eclipse;Black;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
